Country,first_seq,num_seqs,last_seq,variant,censure_date,duration,censored,mortality_rate,total_cases,total_deaths,growth_rate
Cameroon,2021-01-28,-0.10551389629217559,2021-03-03,20A.S.210T,2021-09-28,34,True,-0.2711345784385537,-0.11583009135965418,-0.13326564845096422,-0.2679799360727685
France,2021-02-03,-0.10193837283969714,2021-07-13,20A.S.210T,2021-10-04,160,True,-0.04798946133375482,-0.09123126838772079,-0.10324115537103368,4.968841311102422
Germany,2021-02-11,-0.09929449986427295,2021-08-04,20A.S.210T,2021-10-12,174,True,0.3390178123848731,-0.1156600869826889,-0.1325362380021049,-0.03526671916128773
USA,2021-02-12,-0.10541317732168323,2021-09-15,20A.S.210T,2021-10-13,215,True,-0.23669046398876484,-0.11637958068776577,-0.13380875886321936,0.9541086279101971
South Korea,2021-02-18,-0.06875147206246768,2021-08-26,20A.S.210T,2021-10-19,189,True,-0.697907912419424,-0.10828127562943628,-0.12905281151895634,-0.254494672771198
Central African Republic,2021-02-25,-0.10596713165939116,2021-03-17,20A.S.210T,2021-10-26,20,True,-0.4771274608187982,-0.11648022873970963,-0.133947261021537,-0.27285345568495367
Sweden,2021-02-26,-0.10614338985775278,2021-02-26,20A.S.210T,2021-10-27,0,True,0.01052948515896621,-0.11663019942971185,-0.13406808139197204,-0.27285345568495367
Luxembourg,2021-03-01,-0.10536281783643706,2021-05-28,20A.S.210T,2021-10-30,88,True,-0.531179488399208,-0.11659808226883582,-0.13404429870698836,-0.26861227010390526
UK,2021-03-03,-0.10599231140201425,2021-03-30,20A.S.210T,2021-11-01,27,True,0.6740808335482167,-0.11653807257470382,-0.13389284147149946,1.6289505797396675
Angola,2021-03-04,-0.10611821011512969,2021-03-05,20A.S.210T,2021-11-02,1,True,0.3408467187218886,-0.11661940039515088,-0.13405067109212138,-0.271799498303839
Turkey,2021-03-08,-0.10332325868396697,2021-08-05,20A.S.210T,2021-11-06,150,True,-0.723182630393197,-0.11302628078807662,-0.1319895234342779,0.2082658724825314
