Country,first_seq,num_seqs,last_seq,variant,censure_date,duration,censored,mortality_rate,total_cases,total_deaths,growth_rate
Central African Republic,2021-02-25,8,2021-03-17,20A.S.210T,2021-10-26,20,True,0.01,156,2,1.8
Sweden,2021-02-26,1,2021-02-26,20A.S.210T,2021-10-27,0,True,0.02,2,1,1.8
Luxembourg,2021-03-01,32,2021-05-28,20A.S.210T,2021-10-30,88,True,0.01,35,1,175.64
UK,2021-03-03,7,2021-03-30,20A.S.210T,2021-11-01,27,True,0.03,96,3,77951.31
Angola,2021-03-04,2,2021-03-05,20A.S.210T,2021-11-02,1,True,0.02,13,1,45.0
Turkey,2021-03-08,113,2021-08-05,20A.S.210T,2021-11-06,150,True,0.01,3704,33,19721.51
Ireland,2021-03-09,2,2021-03-23,20A.S.210T,2021-11-07,14,True,0.02,3,1,531.69
Finland,2021-03-14,3,2021-06-27,20A.S.210T,2021-11-12,105,True,0.01,4,1,235.5
Gabon,2021-03-19,3,2021-04-20,20A.S.210T,2021-11-17,32,True,0.01,87,1,141.67
Denmark,2021-03-22,7,2021-07-29,20A.S.210T,2021-11-20,129,True,0.01,9,1,2127.84
Croatia,2021-03-23,1,2021-03-23,20A.S.210T,2021-11-21,0,True,0.02,6,1,2127.84
Chile,2021-03-23,1,2021-03-23,20A.S.210T,2021-11-21,0,True,0.02,18,1,2127.84
Poland,2021-04-09,2,2021-06-03,20A.S.210T,2021-12-08,55,True,0.03,45,2,5377.3
Russia,2021-04-29,1,2021-04-29,20A.S.210T,2021-12-28,0,True,0.02,249,6,5377.3
Japan,2021-05-01,1,2021-05-01,20A.S.210T,2021-12-30,0,True,0.02,2,1,5377.3
South Africa,2021-05-17,4,2021-06-11,20A.S.210T,2022-01-15,25,True,0.03,95,4,4390.03
Congo (Brazzaville),2021-05-19,1,2021-05-19,20A.S.210T,2022-01-17,0,True,0.01,13,1,4390.03
Slovakia,2021-05-25,1,2021-05-25,20A.S.210T,2022-01-23,0,True,0.02,17,1,4390.03
Italy,2021-06-05,2,2021-06-05,20A.S.210T,2022-02-03,0,True,0.03,32,1,4390.03
Netherlands,2021-06-28,1,2021-06-28,20A.S.210T,2022-02-26,0,True,0.01,29,1,0.0
Cambodia,2021-08-25,6,2021-09-02,20A.S.210T,2022-04-25,8,True,0.02,78,2,423.97
Italy,2020-03-19,28450,2021-11-28,S.N501,2020-11-17,619,False,0.03,535994,14308,9983.52
Sweden,2020-03-26,70761,2021-10-18,S.N501,2020-11-24,571,False,0.01,141675,1824,2611.17
Australia,2020-03-27,833,2021-11-28,S.N501,2020-11-25,611,False,0.01,14565,140,1441.24
Chile,2020-04-05,5469,2021-11-11,S.N501,2020-12-04,585,False,0.02,176210,3889,3271.24
Brazil,2020-04-07,43914,2021-11-25,S.N501,2020-12-06,597,False,0.03,2886473,80321,43456.3
UK,2020-04-14,261280,2021-11-23,S.N501,2020-12-13,588,False,0.01,8196217,118672,226030.42
USA,2020-04-21,272272,2021-11-10,S.N501,2020-12-20,568,False,0.02,2636876,42605,88825.6
Netherlands,2020-04-28,30864,2021-11-26,S.N501,2020-12-27,577,False,0.01,1367612,10272,23527.63
